management_id,title,comment,platform,大ジャンル,小ジャンル,purchase_price,sold_price,shipping_fee,sales_fee_rate,status,sold_at
"DUMMY-0001","ベージュ ニット 良品","CSVダミーデータ 2025年1月 売上検証用","その他","トップス","ニット","3864","10600","1200","0.0","sold","2025-01-13"
"DUMMY-0002","グレー ショートパンツ 使用感あり","CSVダミーデータ 2025年1月 売上検証用","ラクマ","ボトムス","ショートパンツ","885","2000","850","10.0","sold","2025-01-20"
"DUMMY-0003","ブラウン ブーツ 良品","CSVダミーデータ 2025年1月 売上検証用","PayPayフリマ","シューズ","ブーツ","1641","3900","210","5.0","sold","2025-01-23"
"DUMMY-0004","ブラウン その他 良品","CSVダミーデータ 2025年1月 売上検証用","ヤフオク","その他","その他","2783","6200","210","10.0","sold","2025-01-31"
"DUMMY-0005","カーキ Tシャツ 美品","CSVダミーデータ 2025年1月 売上検証用","PayPayフリマ","トップス","Tシャツ","5001","13200","750","5.0","sold","2025-01-09"
"DUMMY-0006","ブラック 革靴 ヴィンテージ","CSVダミーデータ 2025年1月 売上検証用","メルカリ","シューズ","革靴","5049","13600","1200","10.0","sold","2025-01-21"
"DUMMY-0007","ブラウン その他 デッドストック風","CSVダミーデータ 2025年1月 売上検証用","ヤフオク","その他","その他","3788","11000","1050","10.0","sold","2025-01-03"
"DUMMY-0008","ブルー デニム 美品","CSVダミーデータ 2025年1月 売上検証用","その他","ボトムス","デニム","1995","3200","750","0.0","sold","2025-01-16"
"DUMMY-0009","ベージュ その他 一点物","CSVダミーデータ 2025年1月 売上検証用","その他","その他","その他","2674","8100","1200","0.0","sold","2025-01-16"
"DUMMY-0010","ベージュ ブーツ 使用感あり","CSVダミーデータ 2025年1月 売上検証用","その他","シューズ","ブーツ","5616","15400","850","0.0","sold","2025-01-07"
"DUMMY-0011","ネイビー その他 美品","CSVダミーデータ 2025年1月 売上検証用","メルカリ","その他","その他","5693","15100","750","10.0","sold","2025-01-13"
"DUMMY-0012","ホワイト チノパン 一点物","CSVダミーデータ 2025年1月 売上検証用","PayPayフリマ","ボトムス","チノパン","4039","7700","1050","5.0","sold","2025-01-14"
"DUMMY-0013","ブラウン ネックレス ヴィンテージ","CSVダミーデータ 2025年1月 売上検証用","メルカリ","アクセサリー","ネックレス","5443","8400","750","10.0","sold","2025-01-12"
"DUMMY-0014","ホワイト ショートパンツ 美品","CSVダミーデータ 2025年1月 売上検証用","ラクマ","ボトムス","ショートパンツ","2891","4300","210","10.0","sold","2025-01-05"
"DUMMY-0015","グレー コート 一点物","CSVダミーデータ 2025年1月 売上検証用","メルカリ","アウター","コート","1096","3400","850","10.0","sold","2025-01-18"
"DUMMY-0016","ブラック その他 良品","CSVダミーデータ 2025年1月 売上検証用","その他","その他","その他","4882","10700","1200","0.0","sold","2025-01-18"
"DUMMY-0017","ブラック ベルト 使用感あり","CSVダミーデータ 2025年1月 売上検証用","ラクマ","アクセサリー","ベルト","5931","13800","850","10.0","sold","2025-01-16"
